Unidades: MW;;;;;;;;;;;;;;;
Informação acedida em: 17/04/2025 15:37:13;;;;;;;;;;;;;;;
Data e Hora;Hídrica;Eólica;Solar;Biomassa;Ondas;Gás Natural - Ciclo Combinado;Gás natural - Cogeração;Carvão;Outra Térmica;Importação;Exportação;Bombagem;Injeção de Baterias;Consumo Baterias;Consumo
01/01/2025 00:00;691.9;1419.6;0.1;354.6;0.0;616.0;133.5;0.0;31.2;2297.6;0.0;0.0;0.0;0.0;5531.8
01/01/2025 00:15;686.4;1408.2;0.1;354.4;0.0;598.8;131.5;0.0;32.2;2296.5;0.0;0.8;0.0;0.0;5494.2
01/01/2025 00:30;696.0;1466.3;0.1;354.1;0.0;637.6;130.0;0.0;32.5;2306.9;0.0;151.5;0.0;0.0;5458.4
01/01/2025 00:45;667.9;1513.3;0.1;354.4;0.0;615.6;131.2;0.0;32.1;2235.2;0.0;118.9;0.0;0.0;5416.7
01/01/2025 01:00;560.8;1544.3;0.1;355.9;0.0;577.6;131.7;0.0;32.3;2314.4;0.0;120.8;0.0;0.0;5381.4
01/01/2025 01:15;581.4;1557.1;0.1;355.0;0.0;587.2;131.4;0.0;32.1;2428.1;0.0;332.6;0.0;0.0;5325.1
01/01/2025 01:30;449.4;1501.2;0.1;355.0;0.0;634.0;131.0;0.0;32.2;2500.9;0.0;332.9;0.0;0.0;5256.8
01/01/2025 01:45;419.4;1478.6;0.1;352.3;0.0;630.0;131.7;0.0;31.5;2537.7;0.0;400.7;0.0;0.0;5164.4
01/01/2025 02:00;328.0;1505.3;0.1;352.2;0.0;584.8;131.8;0.0;31.2;2724.5;0.0;563.0;0.0;0.0;5078.2
01/01/2025 02:15;305.5;1553.5;0.1;355.4;0.0;550.0;131.8;0.0;32.1;2659.5;0.0;575.4;0.0;0.0;4996.8
01/01/2025 02:30;254.2;1594.0;0.1;352.7;0.0;550.0;131.9;0.0;31.4;2601.1;0.0;575.7;0.0;0.0;4924.1
01/01/2025 02:45;213.3;1649.7;0.1;355.7;0.0;444.4;132.6;0.0;32.3;2613.3;0.0;577.8;0.0;0.0;4846.1
01/01/2025 03:00;243.5;1668.9;0.1;356.8;0.0;483.2;132.9;0.0;31.9;2574.8;0.0;689.4;0.0;0.0;4787.7
01/01/2025 03:15;248.5;1618.4;0.1;355.7;0.0;522.4;132.9;0.0;31.9;2583.4;0.0;769.0;0.0;0.0;4707.2
01/01/2025 03:30;293.6;1577.4;0.1;357.5;0.0;644.8;133.0;0.0;32.4;2702.7;0.0;1086.8;0.0;0.0;4636.5
01/01/2025 03:45;300.5;1537.6;0.1;359.0;0.0;666.4;132.7;0.0;32.6;2767.0;0.0;1201.0;0.0;0.0;4576.6
01/01/2025 04:00;295.1;1508.5;0.1;358.4;0.0;680.8;133.6;0.0;32.3;2533.3;0.0;986.0;0.0;0.0;4536.9
01/01/2025 04:15;270.7;1487.9;0.1;358.4;0.0;599.6;133.9;0.0;32.2;2409.3;0.0;804.8;0.0;0.0;4470.8
01/01/2025 04:30;292.4;1468.1;0.1;352.7;0.0;571.6;133.6;0.0;32.4;2398.7;0.0;804.7;0.0;0.0;4428.0
01/01/2025 04:45;318.2;1460.9;0.1;359.4;0.0;544.0;133.6;0.0;32.5;2299.4;0.0;739.0;0.0;0.0;4392.6
01/01/2025 05:00;314.4;1438.0;0.1;359.7;0.0;550.8;132.8;0.0;33.0;2240.2;0.0;667.1;0.0;0.0;4385.2
